                          Options
                          seed: 1122
                          batch_size: 1024
                          no_cuda: False
                          max_frames: 500000000
                          buffer_size: 1000000
                          update_target: 1000
                          train_freq: 100
                          gamma: 0.999
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          num_envs: 10
                          hidden_dim: 256
                          dueling: False
                          multi_step: 1
                          env: SlimeVolley-v0
                          ram: False
                          negative: False
                          against_baseline: True
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 3000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 1000000
                          cuda: True
                          device: cuda:0
[Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32)] [Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6)]
(12,)
(12,)
Frame: 6600000, Avg. Reward: -6.191, Avg. RL Loss: 0.008, Avg. Length: 920.5
Frame: 6700000, Avg. Reward: -6.922, Avg. RL Loss: 0.008, Avg. Length: 1050.7
Frame: 6800000, Avg. Reward: -6.610, Avg. RL Loss: 0.008, Avg. Length: 1007.5
Frame: 6900000, Avg. Reward: -6.340, Avg. RL Loss: 0.009, Avg. Length: 976.0
Frame: 7000000, Avg. Reward: -5.842, Avg. RL Loss: 0.009, Avg. Length: 845.3
Frame: 7100000, Avg. Reward: -6.518, Avg. RL Loss: 0.009, Avg. Length: 966.5
Frame: 7200000, Avg. Reward: -6.611, Avg. RL Loss: 0.009, Avg. Length: 1011.4
Frame: 7300000, Avg. Reward: -6.255, Avg. RL Loss: 0.009, Avg. Length: 978.9
Frame: 7400000, Avg. Reward: -6.490, Avg. RL Loss: 0.009, Avg. Length: 978.8
Frame: 7500000, Avg. Reward: -7.044, Avg. RL Loss: 0.009, Avg. Length: 1113.4
Frame: 7600000, Avg. Reward: -5.960, Avg. RL Loss: 0.009, Avg. Length: 954.7
Frame: 7700000, Avg. Reward: -6.255, Avg. RL Loss: 0.008, Avg. Length: 953.7
Frame: 7800000, Avg. Reward: -6.560, Avg. RL Loss: 0.009, Avg. Length: 1011.9
Frame: 7900000, Avg. Reward: -5.970, Avg. RL Loss: 0.009, Avg. Length: 940.8
Frame: 8000000, Avg. Reward: -6.527, Avg. RL Loss: 0.009, Avg. Length: 954.6
Frame: 8100000, Avg. Reward: -6.390, Avg. RL Loss: 0.009, Avg. Length: 949.4
Frame: 8200000, Avg. Reward: -6.800, Avg. RL Loss: 0.009, Avg. Length: 1043.4
Frame: 8300000, Avg. Reward: -6.260, Avg. RL Loss: 0.010, Avg. Length: 949.7
Frame: 8400000, Avg. Reward: -6.670, Avg. RL Loss: 0.010, Avg. Length: 1006.1
Frame: 8500000, Avg. Reward: -6.770, Avg. RL Loss: 0.009, Avg. Length: 1080.2
Frame: 8600000, Avg. Reward: -6.611, Avg. RL Loss: 0.008, Avg. Length: 1096.7
Frame: 8700000, Avg. Reward: -6.240, Avg. RL Loss: 0.008, Avg. Length: 976.1
Frame: 8800000, Avg. Reward: -6.867, Avg. RL Loss: 0.009, Avg. Length: 1130.3
Frame: 8900000, Avg. Reward: -6.467, Avg. RL Loss: 0.008, Avg. Length: 1059.2
Frame: 9000000, Avg. Reward: -6.420, Avg. RL Loss: 0.008, Avg. Length: 1065.4
Frame: 9100000, Avg. Reward: -6.367, Avg. RL Loss: 0.008, Avg. Length: 1097.0
Frame: 9200000, Avg. Reward: -7.056, Avg. RL Loss: 0.008, Avg. Length: 1118.2
Frame: 9300000, Avg. Reward: -5.950, Avg. RL Loss: 0.008, Avg. Length: 954.5
Frame: 9400000, Avg. Reward: -6.550, Avg. RL Loss: 0.008, Avg. Length: 1030.0
Frame: 9500000, Avg. Reward: -6.567, Avg. RL Loss: 0.008, Avg. Length: 1078.0
